juego,sorteo,fecha,n1,n2,n3,n4,n5,superbalota,page,detail_url
BALOTO,2627,7 de Marzo de 2026,3,11,30,38,41,4,1,https://www.baloto.com/resultados-baloto/2627
REVANCHA,2627,7 de Marzo de 2026,1,3,8,20,21,7,1,https://www.baloto.com/resultados-revancha/2627
BALOTO,2626,4 de Marzo de 2026,21,26,32,34,40,12,1,https://www.baloto.com/resultados-baloto/2626
REVANCHA,2626,4 de Marzo de 2026,6,10,12,19,26,14,1,https://www.baloto.com/resultados-revancha/2626
BALOTO,2625,2 de Marzo de 2026,1,7,15,39,43,5,1,https://www.baloto.com/resultados-baloto/2625
REVANCHA,2625,2 de Marzo de 2026,1,10,21,34,36,1,1,https://www.baloto.com/resultados-revancha/2625
BALOTO,2624,28 de Febrero de 2026,7,11,15,19,41,9,1,https://www.baloto.com/resultados-baloto/2624
REVANCHA,2624,28 de Febrero de 2026,3,4,19,25,42,15,1,https://www.baloto.com/resultados-revancha/2624
BALOTO,2623,25 de Febrero de 2026,2,6,11,28,31,14,1,https://www.baloto.com/resultados-baloto/2623
REVANCHA,2623,25 de Febrero de 2026,15,24,34,38,43,8,1,https://www.baloto.com/resultados-revancha/2623
BALOTO,2622,23 de Febrero de 2026,16,18,20,23,41,10,2,https://www.baloto.com/resultados-baloto/2622
REVANCHA,2622,23 de Febrero de 2026,4,11,15,23,43,2,2,https://www.baloto.com/resultados-revancha/2622
BALOTO,2621,21 de Febrero de 2026,7,12,22,25,40,10,2,https://www.baloto.com/resultados-baloto/2621
REVANCHA,2621,21 de Febrero de 2026,6,13,14,17,19,12,2,https://www.baloto.com/resultados-revancha/2621
BALOTO,2620,18 de Febrero de 2026,11,27,38,40,42,2,2,https://www.baloto.com/resultados-baloto/2620
REVANCHA,2620,18 de Febrero de 2026,2,4,12,24,42,6,2,https://www.baloto.com/resultados-revancha/2620
BALOTO,2619,16 de Febrero de 2026,9,18,21,22,42,14,2,https://www.baloto.com/resultados-baloto/2619
REVANCHA,2619,16 de Febrero de 2026,16,18,22,27,33,5,2,https://www.baloto.com/resultados-revancha/2619
BALOTO,2618,14 de Febrero de 2026,15,21,29,34,35,6,2,https://www.baloto.com/resultados-baloto/2618
REVANCHA,2618,14 de Febrero de 2026,14,35,37,38,41,10,2,https://www.baloto.com/resultados-revancha/2618
BALOTO,2617,11 de Febrero de 2026,9,14,30,36,42,6,3,https://www.baloto.com/resultados-baloto/2617
REVANCHA,2617,11 de Febrero de 2026,13,26,33,34,38,5,3,https://www.baloto.com/resultados-revancha/2617
BALOTO,2616,9 de Febrero de 2026,11,17,20,36,38,14,3,https://www.baloto.com/resultados-baloto/2616
REVANCHA,2616,9 de Febrero de 2026,3,10,15,25,35,1,3,https://www.baloto.com/resultados-revancha/2616
BALOTO,2615,7 de Febrero de 2026,9,12,26,27,31,3,3,https://www.baloto.com/resultados-baloto/2615
REVANCHA,2615,7 de Febrero de 2026,5,7,12,13,27,4,3,https://www.baloto.com/resultados-revancha/2615
BALOTO,2614,4 de Febrero de 2026,16,25,29,36,38,15,3,https://www.baloto.com/resultados-baloto/2614
REVANCHA,2614,4 de Febrero de 2026,1,8,10,19,26,9,3,https://www.baloto.com/resultados-revancha/2614
BALOTO,2613,2 de Febrero de 2026,8,13,18,30,41,12,3,https://www.baloto.com/resultados-baloto/2613
REVANCHA,2613,2 de Febrero de 2026,6,8,19,21,30,9,3,https://www.baloto.com/resultados-revancha/2613
